L-BFGS | iteration: 000, total loss=3198362583040.0000, content_loss=      0.0000, style loss=3198356160000.0000, tv loss=6511108.0000
L-BFGS | iteration: 001, total loss=3198356815872.0000, content_loss=      0.0003, style loss=3198350160000.0000, tv loss=6511108.0000
L-BFGS | iteration: 002, total loss=3198328766464.0000, content_loss=      0.0070, style loss=3198322320000.0000, tv loss=6511107.0000
L-BFGS | iteration: 003, total loss=3198175150080.0000, content_loss=      0.2125, style loss=3198168480000.0000, tv loss=6511100.0000
L-BFGS | iteration: 004, total loss=3197329473536.0000, content_loss=      6.4498, style loss=3197322960000.0000, tv loss=6511065.0000
L-BFGS | iteration: 005, total loss=3192666718208.0000, content_loss=    198.0171, style loss=3192660240000.0000, tv loss=6510873.0000
L-BFGS | iteration: 006, total loss=3142186696704.0000, content_loss=  20360.8394, style loss=3142180080000.0000, tv loss=6508758.0000
L-BFGS | iteration: 007, total loss=2713972899840.0000, content_loss=1739365.5396, style loss=2713964400000.0000, tv loss=6488940.0000
L-BFGS | iteration: 008, total loss=1510629703680.0000, content_loss=23991787.1094, style loss=1510599120000.0000, tv loss=6500070.0000
L-BFGS | iteration: 009, total loss=1030217662464.0000, content_loss=42728364.2578, style loss=1030168440000.0000, tv loss=6499878.0000
L-BFGS | iteration: 010, total loss=734389796864.0000, content_loss=64693725.5859, style loss=734318580000.0000, tv loss=6523313.5000
L-BFGS | iteration: 011, total loss=571629502464.0000, content_loss=84309716.7969, style loss=571538640000.0000, tv loss=6567631.5000
L-BFGS | iteration: 012, total loss=465397022720.0000, content_loss=100637294.9219, style loss=465289740000.0000, tv loss=6664836.0000
L-BFGS | iteration: 013, total loss=388031578112.0000, content_loss=114801943.3594, style loss=387909930000.0000, tv loss=6833134.5000
L-BFGS | iteration: 014, total loss=326342606848.0000, content_loss=126040156.2500, style loss=326209500000.0000, tv loss=7067022.0000
L-BFGS | iteration: 015, total loss=276507131904.0000, content_loss=134257578.1250, style loss=276365520000.0000, tv loss=7375401.0000
L-BFGS | iteration: 016, total loss=236128747520.0000, content_loss=141694394.5312, style loss=235979385000.0000, tv loss=7674382.0000
