L-BFGS | iteration: 051, total loss=492160712704.0000, content_loss=106126708.9844, style loss=492026880000.0000, tv loss=27682684.0000
L-BFGS | iteration: 052, total loss=486015664128.0000, content_loss=106463691.4062, style loss=485881440000.0000, tv loss=27766364.0000
L-BFGS | iteration: 053, total loss=480322715648.0000, content_loss=106705136.7188, style loss=480188250000.0000, tv loss=27775648.0000
L-BFGS | iteration: 054, total loss=474771816448.0000, content_loss=107195332.0312, style loss=474636780000.0000, tv loss=27865524.0000
L-BFGS | iteration: 055, total loss=469347991552.0000, content_loss=107378339.8438, style loss=469212780000.0000, tv loss=27835692.0000
L-BFGS | iteration: 056, total loss=464214261760.0000, content_loss=107821992.1875, style loss=464078550000.0000, tv loss=27931548.0000
L-BFGS | iteration: 057, total loss=459205246976.0000, content_loss=107910488.2812, style loss=459069450000.0000, tv loss=27899456.0000
L-BFGS | iteration: 058, total loss=454545670144.0000, content_loss=108372871.0938, style loss=454409280000.0000, tv loss=28016204.0000
L-BFGS | iteration: 059, total loss=450097938432.0000, content_loss=108439804.6875, style loss=449961510000.0000, tv loss=27984888.0000
L-BFGS | iteration: 060, total loss=445746610176.0000, content_loss=108923505.8594, style loss=445609590000.0000, tv loss=28099324.0000
L-BFGS | iteration: 061, total loss=441408552960.0000, content_loss=108901679.6875, style loss=441271590000.0000, tv loss=28068518.0000
L-BFGS | iteration: 062, total loss=437215592448.0000, content_loss=109316582.0312, style loss=437078130000.0000, tv loss=28159920.0000
L-BFGS | iteration: 063, total loss=433247420416.0000, content_loss=109482343.7500, style loss=433109760000.0000, tv loss=28170748.0000
L-BFGS | iteration: 064, total loss=429312344064.0000, content_loss=109858750.0000, style loss=429174240000.0000, tv loss=28247316.0000
L-BFGS | iteration: 065, total loss=425544089600.0000, content_loss=109995117.1875, style loss=425405850000.0000, tv loss=28256590.0000
L-BFGS | iteration: 066, total loss=421926240256.0000, content_loss=110307275.3906, style loss=421787610000.0000, tv loss=28336400.0000
L-BFGS | iteration: 067, total loss=418376941568.0000, content_loss=110422041.0156, style loss=418238160000.0000, tv loss=28332372.0000
L-BFGS | iteration: 068, total loss=414962286592.0000, content_loss=110827617.1875, style loss=414823020000.0000, tv loss=28443272.0000
L-BFGS | iteration: 069, total loss=411597701120.0000, content_loss=110803603.5156, style loss=411458490000.0000, tv loss=28421812.0000
L-BFGS | iteration: 070, total loss=408309825536.0000, content_loss=111095625.0000, style loss=408170250000.0000, tv loss=28522916.0000
L-BFGS | iteration: 071, total loss=404998029312.0000, content_loss=111146132.8125, style loss=404858370000.0000, tv loss=28521048.0000
L-BFGS | iteration: 072, total loss=401768480768.0000, content_loss=111513818.3594, style loss=401628330000.0000, tv loss=28627046.0000
L-BFGS | iteration: 073, total loss=398633435136.0000, content_loss=111585214.8438, style loss=398493210000.0000, tv loss=28624094.0000
