L-BFGS | iteration: 051, total loss=16468031488.0000, content_loss=184776464.8438, style loss=16273629375.0000, tv loss=9625938.0000
L-BFGS | iteration: 052, total loss=15558335488.0000, content_loss=188157441.4062, style loss=15360510000.0000, tv loss=9667593.0000
L-BFGS | iteration: 053, total loss=15181337600.0000, content_loss=186260957.0312, style loss=14985445312.5000, tv loss=9631718.0000
L-BFGS | iteration: 054, total loss=14840765440.0000, content_loss=187515664.0625, style loss=14643662812.5000, tv loss=9586193.0000
L-BFGS | iteration: 055, total loss=14289134592.0000, content_loss=187678691.4062, style loss=14091816562.5000, tv loss=9638514.0000
L-BFGS | iteration: 056, total loss=13796502528.0000, content_loss=188088164.0625, style loss=13598700000.0000, tv loss=9714225.0000
L-BFGS | iteration: 057, total loss=13179521024.0000, content_loss=189245703.1250, style loss=12980545312.5000, tv loss=9730363.0000
L-BFGS | iteration: 058, total loss=12421960704.0000, content_loss=189384667.9688, style loss=12222847500.0000, tv loss=9727868.0000
L-BFGS | iteration: 059, total loss=11787272192.0000, content_loss=190846484.3750, style loss=11586701250.0000, tv loss=9724193.0000
L-BFGS | iteration: 060, total loss=11520466944.0000, content_loss=190223906.2500, style loss=11320493437.5000, tv loss=9749738.0000
L-BFGS | iteration: 061, total loss=11052943360.0000, content_loss=190572910.1562, style loss=10852637812.5000, tv loss=9732904.0000
L-BFGS | iteration: 062, total loss=10530545664.0000, content_loss=191186347.6562, style loss=10329630000.0000, tv loss=9729856.0000
L-BFGS | iteration: 063, total loss=9992759296.0000, content_loss=190633203.1250, style loss=9792405937.5000, tv loss=9720348.0000
L-BFGS | iteration: 064, total loss=9589457920.0000, content_loss=191938691.4062, style loss=9387802500.0000, tv loss=9716510.0000
L-BFGS | iteration: 065, total loss=9441113088.0000, content_loss=191234941.4062, style loss=9240167812.5000, tv loss=9710755.0000
L-BFGS | iteration: 066, total loss=9312555008.0000, content_loss=191611738.2812, style loss=9111246562.5000, tv loss=9696753.0000
L-BFGS | iteration: 067, total loss=9011090432.0000, content_loss=192141757.8125, style loss=8809199062.5000, tv loss=9750754.0000
L-BFGS | iteration: 068, total loss=8742886400.0000, content_loss=192644335.9375, style loss=8540460937.5000, tv loss=9781593.0000
L-BFGS | iteration: 069, total loss=8455448576.0000, content_loss=193435234.3750, style loss=8252225625.0000, tv loss=9787724.0000
L-BFGS | iteration: 070, total loss=8189453312.0000, content_loss=192944199.2188, style loss=7986732187.5000, tv loss=9776949.0000
L-BFGS | iteration: 071, total loss=7861497856.0000, content_loss=193628378.9062, style loss=7658122500.0000, tv loss=9747153.0000
L-BFGS | iteration: 072, total loss=7706595840.0000, content_loss=193620136.7188, style loss=7503204843.7500, tv loss=9771209.0000
L-BFGS | iteration: 073, total loss=7444791808.0000, content_loss=194083281.2500, style loss=7240923281.2500, tv loss=9785136.0000
L-BFGS | iteration: 074, total loss=7155486208.0000, content_loss=193881660.1562, style loss=6951837656.2500, tv loss=9766840.0000
L-BFGS | iteration: 075, total loss=6876334080.0000, content_loss=195074882.8125, style loss=6671483437.5000, tv loss=9775618.0000
L-BFGS | iteration: 076, total loss=7397998080.0000, content_loss=193255312.5000, style loss=7194938906.2500, tv loss=9803966.0000
L-BFGS | iteration: 077, total loss=6793909248.0000, content_loss=194651738.2812, style loss=6589477031.2500, tv loss=9780959.0000
L-BFGS | iteration: 078, total loss=6692871168.0000, content_loss=194290566.4062, style loss=6488817656.2500, tv loss=9762792.0000
L-BFGS | iteration: 079, total loss=6548603904.0000, content_loss=194393281.2500, style loss=6344447343.7500, tv loss=9763280.0000
L-BFGS | iteration: 080, total loss=6326780928.0000, content_loss=195185000.0000, style loss=6121827656.2500, tv loss=9767810.0000
L-BFGS | iteration: 081, total loss=6183474688.0000, content_loss=195587753.9062, style loss=5978116406.2500, tv loss=9770592.0000
L-BFGS | iteration: 082, total loss=6030496768.0000, content_loss=195639746.0938, style loss=5825098593.7500, tv loss=9758084.0000
L-BFGS | iteration: 083, total loss=6032917504.0000, content_loss=195214218.7500, style loss=5827938281.2500, tv loss=9764782.0000
L-BFGS | iteration: 084, total loss=5977247232.0000, content_loss=195470000.0000, style loss=5772016406.2500, tv loss=9760650.0000
L-BFGS | iteration: 085, total loss=5868429824.0000, content_loss=195758300.7812, style loss=5662913437.5000, tv loss=9758052.0000
L-BFGS | iteration: 086, total loss=5732284416.0000, content_loss=195882792.9688, style loss=5526641718.7500, tv loss=9759676.0000
L-BFGS | iteration: 087, total loss=5621322752.0000, content_loss=196018671.8750, style loss=5415547500.0000, tv loss=9756697.0000
L-BFGS | iteration: 088, total loss=5508996608.0000, content_loss=196017226.5625, style loss=5303214843.7500, tv loss=9765032.0000
L-BFGS | iteration: 089, total loss=5335290368.0000, content_loss=197171738.2812, style loss=5128357968.7500, tv loss=9760829.0000
L-BFGS | iteration: 090, total loss=5253433344.0000, content_loss=196612070.3125, style loss=5047057031.2500, tv loss=9764454.0000
L-BFGS | iteration: 091, total loss=5203456000.0000, content_loss=196648359.3750, style loss=4997045156.2500, tv loss=9762487.0000
L-BFGS | iteration: 092, total loss=5122564608.0000, content_loss=196588925.7812, style loss=4916212500.0000, tv loss=9762850.0000
L-BFGS | iteration: 093, total loss=5022457856.0000, content_loss=196520234.3750, style loss=4816192031.2500, tv loss=9745545.0000
L-BFGS | iteration: 094, total loss=4919416320.0000, content_loss=197110625.0000, style loss=4712568750.0000, tv loss=9736467.0000
L-BFGS | iteration: 095, total loss=4836290048.0000, content_loss=196890859.3750, style loss=4629674531.2500, tv loss=9724814.0000
L-BFGS | iteration: 096, total loss=4731555328.0000, content_loss=196705097.6562, style loss=4525142812.5000, tv loss=9706931.0000
L-BFGS | iteration: 097, total loss=4646975488.0000, content_loss=197475449.2188, style loss=4439780156.2500, tv loss=9719608.0000
L-BFGS | iteration: 098, total loss=4573401088.0000, content_loss=197785800.7812, style loss=4365900000.0000, tv loss=9715566.0000
L-BFGS | iteration: 099, total loss=4666253824.0000, content_loss=196902343.7500, style loss=4459632656.2500, tv loss=9718877.0000
L-BFGS | iteration: 100, total loss=4528050176.0000, content_loss=197517773.4375, style loss=4320817031.2500, tv loss=9715244.0000
L-BFGS | iteration: 101, total loss=4474760704.0000, content_loss=197621621.0938, style loss=4267416093.7500, tv loss=9722989.0000
L-BFGS | iteration: 102, total loss=4381264384.0000, content_loss=197972851.5625, style loss=4173557812.5000, tv loss=9733840.0000
L-BFGS | iteration: 103, total loss=4306860544.0000, content_loss=198234199.2188, style loss=4098897656.2500, tv loss=9728464.0000
L-BFGS | iteration: 104, total loss=4248680448.0000, content_loss=197976972.6562, style loss=4040980312.5000, tv loss=9723052.0000
L-BFGS | iteration: 105, total loss=4225808896.0000, content_loss=198267558.5938, style loss=4017832968.7500, tv loss=9708321.0000
L-BFGS | iteration: 106, total loss=4158043648.0000, content_loss=198314140.6250, style loss=3950016562.5000, tv loss=9712831.0000
L-BFGS | iteration: 107, total loss=4106078464.0000, content_loss=198267968.7500, style loss=3898095000.0000, tv loss=9715551.0000
L-BFGS | iteration: 108, total loss=4057843712.0000, content_loss=198465742.1875, style loss=3849662343.7500, tv loss=9715353.0000
L-BFGS | iteration: 109, total loss=3986850560.0000, content_loss=198307812.5000, style loss=3778828593.7500, tv loss=9714242.0000
L-BFGS | iteration: 110, total loss=3910722816.0000, content_loss=198680410.1562, style loss=3702327890.6250, tv loss=9714811.0000
L-BFGS | iteration: 111, total loss=3865992448.0000, content_loss=198605371.0938, style loss=3657669375.0000, tv loss=9717698.0000
L-BFGS | iteration: 112, total loss=3800034048.0000, content_loss=198661523.4375, style loss=3591656250.0000, tv loss=9716166.0000
L-BFGS | iteration: 113, total loss=3712096256.0000, content_loss=198992636.7188, style loss=3503391093.7500, tv loss=9712568.0000
L-BFGS | iteration: 114, total loss=3666315008.0000, content_loss=198931015.6250, style loss=3457683046.8750, tv loss=9701042.0000
L-BFGS | iteration: 115, total loss=3627953664.0000, content_loss=198781582.0312, style loss=3419471250.0000, tv loss=9700489.0000
L-BFGS | iteration: 116, total loss=3604844800.0000, content_loss=199108652.3438, style loss=3396041250.0000, tv loss=9694858.0000
L-BFGS | iteration: 117, total loss=3568670976.0000, content_loss=199006406.2500, style loss=3359962500.0000, tv loss=9701898.0000
L-BFGS | iteration: 118, total loss=3538213888.0000, content_loss=199083476.5625, style loss=3329432578.1250, tv loss=9697670.0000
L-BFGS | iteration: 119, total loss=3513932544.0000, content_loss=199007636.7188, style loss=3305231250.0000, tv loss=9693541.0000
L-BFGS | iteration: 120, total loss=3466218496.0000, content_loss=198815722.6562, style loss=3257703046.8750, tv loss=9699488.0000
L-BFGS | iteration: 121, total loss=3414600704.0000, content_loss=199321796.8750, style loss=3205581796.8750, tv loss=9697150.0000
L-BFGS | iteration: 122, total loss=3387330560.0000, content_loss=199282382.8125, style loss=3178351875.0000, tv loss=9696300.0000
L-BFGS | iteration: 123, total loss=3394213376.0000, content_loss=198981718.7500, style loss=3185531718.7500, tv loss=9700118.0000
L-BFGS | iteration: 124, total loss=3354293760.0000, content_loss=199193417.9688, style loss=3145403437.5000, tv loss=9697012.0000
L-BFGS | iteration: 125, total loss=3316005632.0000, content_loss=199307031.2500, style loss=3107006484.3750, tv loss=9692272.0000
L-BFGS | iteration: 126, total loss=3260229120.0000, content_loss=199490878.9062, style loss=3051050390.6250, tv loss=9687749.0000
L-BFGS | iteration: 127, total loss=3216297472.0000, content_loss=199705917.9688, style loss=3006904453.1250, tv loss=9686956.0000
L-BFGS | iteration: 128, total loss=3190214400.0000, content_loss=199455859.3750, style loss=2981078671.8750, tv loss=9679866.0000
L-BFGS | iteration: 129, total loss=3167190272.0000, content_loss=199550175.7812, style loss=2957971875.0000, tv loss=9668045.0000
L-BFGS | iteration: 130, total loss=3140957440.0000, content_loss=199720312.5000, style loss=2931556875.0000, tv loss=9680018.0000
L-BFGS | iteration: 131, total loss=3115756288.0000, content_loss=199845019.5312, style loss=2906228671.8750, tv loss=9682423.0000
