L-BFGS | iteration: 051, total loss=26342889472.0000, content_loss=242931132.8125, style loss=26076898125.0000, tv loss=23061312.0000
L-BFGS | iteration: 052, total loss=24912896000.0000, content_loss=243741210.9375, style loss=24646160625.0000, tv loss=22994676.0000
L-BFGS | iteration: 053, total loss=24219633664.0000, content_loss=245049023.4375, style loss=23951516250.0000, tv loss=23069128.0000
L-BFGS | iteration: 054, total loss=23407032320.0000, content_loss=244775039.0625, style loss=23139191250.0000, tv loss=23066052.0000
L-BFGS | iteration: 055, total loss=22679191552.0000, content_loss=244723750.0000, style loss=22411363125.0000, tv loss=23105320.0000
L-BFGS | iteration: 056, total loss=21673232384.0000, content_loss=245364882.8125, style loss=21404716875.0000, tv loss=23151552.0000
L-BFGS | iteration: 057, total loss=19987775488.0000, content_loss=246113828.1250, style loss=19718428125.0000, tv loss=23231968.0000
L-BFGS | iteration: 058, total loss=19509997568.0000, content_loss=247220449.2188, style loss=19239579375.0000, tv loss=23197684.0000
L-BFGS | iteration: 059, total loss=18735714304.0000, content_loss=247067050.7812, style loss=18465380625.0000, tv loss=23267086.0000
L-BFGS | iteration: 060, total loss=18378610688.0000, content_loss=246692480.4688, style loss=18108660000.0000, tv loss=23258856.0000
L-BFGS | iteration: 061, total loss=17906769920.0000, content_loss=246665371.0938, style loss=17636810625.0000, tv loss=23294036.0000
L-BFGS | iteration: 062, total loss=17285396480.0000, content_loss=246914550.7812, style loss=17015139375.0000, tv loss=23342520.0000
L-BFGS | iteration: 063, total loss=16713571328.0000, content_loss=246972890.6250, style loss=16443230625.0000, tv loss=23369204.0000
L-BFGS | iteration: 064, total loss=15973649408.0000, content_loss=247583457.0312, style loss=15702607500.0000, tv loss=23457942.0000
L-BFGS | iteration: 065, total loss=15296816128.0000, content_loss=247463066.4062, style loss=15025879687.5000, tv loss=23473090.0000
L-BFGS | iteration: 066, total loss=14971961344.0000, content_loss=247333554.6875, style loss=14701050000.0000, tv loss=23577506.0000
L-BFGS | iteration: 067, total loss=14493048832.0000, content_loss=248027011.7188, style loss=14221462500.0000, tv loss=23559668.0000
L-BFGS | iteration: 068, total loss=13923772416.0000, content_loss=247996484.3750, style loss=13652187187.5000, tv loss=23589020.0000
L-BFGS | iteration: 069, total loss=13360012288.0000, content_loss=247985039.0625, style loss=13088365312.5000, tv loss=23661196.0000
L-BFGS | iteration: 070, total loss=12865712128.0000, content_loss=247404062.5000, style loss=12594639375.0000, tv loss=23667920.0000
